"episode","final_track_id","type","codec","language","track_name","source_track_id","action","applied_shift_ms","packet_matches","median_spread_ms"
"1","1","audio","Opus","ja","Japanese","1","unchanged_timing","0","2233","0.0"
"1","2","audio","Opus","ja","Japanese 2.0 (Blu-ray)","","added","0","",""
"1","3","audio","Opus","en","English","2","timing_corrected","-32","2248","0.0"
"1","4","audio","Opus","es-419","Spanish (Latin America)","3","timing_corrected","-9","2249","0.0"
"1","5","audio","Opus","es-ES","Spanish (Spain)","4","timing_corrected","-54","2247","0.0"
"1","6","audio","Opus","ar-SA","Arabic","5","timing_corrected","-32","2248","0.0"
"1","7","audio","Opus","fr-FR","French (France)","6","timing_corrected","-32","2248","0.0"
"1","8","audio","Opus","de","German","7","timing_corrected","-54","2247","0.0"
"1","9","audio","Opus","it","Italian","8","timing_corrected","-54","2247","0.0"
"1","10","audio","Opus","pt-BR","Portuguese (Brazil)","9","timing_corrected","-54","2247","0.0"
"1","11","audio","Opus","id-ID","Indonesian","10","timing_corrected","-32","2248","0.0"
"1","12","audio","Opus","th-TH","Thai","11","timing_corrected","-41","2243","0.0"
"1","13","audio","Opus","hi","Hindi","12","timing_corrected","-54","2247","0.0"
"1","14","subtitles","SubRip/SRT","en","English (Forced)","13","timing_corrected","-63","13","0.0"
"1","15","subtitles","SubStationAlpha","en","English","14","timing_corrected","-41","7034","0.0"
"1","16","subtitles","SubRip/SRT","en","English (SDH)","15","timing_corrected","-63","530","0.0"
"1","17","subtitles","SubStationAlpha","en","English (Dub)","16","timing_corrected","-41","7056","0.0"
"1","18","subtitles","SubStationAlpha","en","English (Signs & Songs)","17","timing_corrected","-41","6574","0.0"
"1","19","subtitles","SubStationAlpha","en","English (Honorifics)","18","timing_corrected","-41","7034","0.0"
"1","20","subtitles","SubRip/SRT","es-419","Spanish (Latin America) (Forced)","19","timing_corrected","-63","12","0.0"
"1","21","subtitles","SubRip/SRT","es-419","Spanish (Latin America)","20","timing_corrected","-63","447","0.0"
"1","22","subtitles","SubRip/SRT","es-419","Spanish (Latin America) (Dub)","21","timing_corrected","-63","360","0.0"
"1","23","subtitles","SubRip/SRT","es-ES","Spanish (Spain) (Forced)","22","timing_corrected","-63","8","0.0"
"1","24","subtitles","SubRip/SRT","es-ES","Spanish (Spain)","23","timing_corrected","-63","448","0.0"
"1","25","subtitles","SubRip/SRT","es-ES","Spanish (Spain) (Dub)","24","timing_corrected","-63","414","0.0"
"1","26","subtitles","SubRip/SRT","ar-SA","Arabic (Forced)","25","timing_corrected","-63","7","0.0"
"1","27","subtitles","SubRip/SRT","ar-SA","Arabic","26","timing_corrected","-63","442","0.0"
"1","28","subtitles","SubRip/SRT","fr-FR","French (Forced)","27","timing_corrected","-63","9","0.0"
"1","29","subtitles","SubRip/SRT","fr-FR","French (France)","28","timing_corrected","-63","442","0.0"
"1","30","subtitles","SubRip/SRT","fr-FR","French (Dub)","29","timing_corrected","-63","498","0.0"
"1","31","subtitles","SubRip/SRT","de","German (Forced)","30","timing_corrected","-63","15","0.0"
"1","32","subtitles","SubRip/SRT","de","German","31","timing_corrected","-63","443","0.0"
"1","33","subtitles","SubRip/SRT","de","German (Dub)","32","timing_corrected","-63","394","0.0"
"1","34","subtitles","SubRip/SRT","it","Italian (Forced)","33","timing_corrected","-63","11","0.0"
"1","35","subtitles","SubRip/SRT","it","Italian","34","timing_corrected","-63","447","0.0"
"1","36","subtitles","SubRip/SRT","it","Italian (Dub)","35","timing_corrected","-63","427","0.0"
"1","37","subtitles","SubRip/SRT","ja","Japanese","36","timing_corrected","-63","503","0.0"
"1","38","subtitles","SubRip/SRT","ja","Japanese (SDH)","37","timing_corrected","-63","503","0.0"
"1","39","subtitles","SubRip/SRT","pt-BR","Portuguese (Brazil) (Forced)","38","timing_corrected","-63","12","0.0"
"1","40","subtitles","SubRip/SRT","pt-BR","Portuguese (Brazil)","39","timing_corrected","-63","446","0.0"
"1","41","subtitles","SubRip/SRT","pt-BR","Portuguese (Brazil) (Dub)","40","timing_corrected","-63","425","0.0"
"1","42","subtitles","SubRip/SRT","pt-PT","Portuguese (Portugal)","41","timing_corrected","-63","443","0.0"
"1","43","subtitles","SubRip/SRT","pl","Polish","42","timing_corrected","-63","433","0.0"
"1","44","subtitles","SubRip/SRT","nl","Dutch","43","timing_corrected","-63","441","0.0"
"1","45","subtitles","SubRip/SRT","nb","Norwegian Bokm̴l","44","timing_corrected","-63","452","0.0"
"1","46","subtitles","SubRip/SRT","fi","Finnish","45","timing_corrected","-63","443","0.0"
"1","47","subtitles","SubRip/SRT","fil","Filipino","46","timing_corrected","-63","447","0.0"
"1","48","subtitles","SubRip/SRT","tr","Turkish","47","timing_corrected","-63","448","0.0"
"1","49","subtitles","SubRip/SRT","sv","Swedish","48","timing_corrected","-63","440","0.0"
"1","50","subtitles","SubRip/SRT","el","Greek","49","timing_corrected","-63","437","0.0"
"1","51","subtitles","SubRip/SRT","he","Hebrew","50","timing_corrected","-63","438","0.0"
"1","52","subtitles","SubRip/SRT","ro","Romanian","51","timing_corrected","-63","437","0.0"
"1","53","subtitles","SubRip/SRT","id-ID","Indonesian (Forced)","52","timing_corrected","-63","10","0.0"
"1","54","subtitles","SubRip/SRT","id-ID","Indonesian","53","timing_corrected","-63","444","0.0"
"1","55","subtitles","SubRip/SRT","id-ID","Indonesian (Dub)","54","timing_corrected","-63","417","0.0"
"1","56","subtitles","SubRip/SRT","th-TH","Thai (Forced)","55","timing_corrected","-63","11","0.0"
"1","57","subtitles","SubRip/SRT","th-TH","Thai","56","timing_corrected","-63","453","0.0"
"1","58","subtitles","SubRip/SRT","th-TH","Thai (Dub)","57","timing_corrected","-63","421","0.0"
"1","59","subtitles","SubRip/SRT","ko","Korean","58","timing_corrected","-63","451","0.0"
"1","60","subtitles","SubRip/SRT","da","Danish","59","timing_corrected","-63","444","0.0"
"1","61","subtitles","SubRip/SRT","zh-Hans","Chinese (Simplified)","60","timing_corrected","-63","453","0.0"
"1","62","subtitles","SubRip/SRT","zh-Hant","Chinese (Traditional)","61","timing_corrected","-63","452","0.0"
"1","63","subtitles","SubRip/SRT","vi-VN","Vietnamese","62","timing_corrected","-63","451","0.0"
"1","64","subtitles","SubRip/SRT","uk","Ukrainian","63","timing_corrected","-63","449","0.0"
"1","65","subtitles","SubRip/SRT","hu","Hungarian","64","timing_corrected","-63","448","0.0"
"1","66","subtitles","SubRip/SRT","cs","Czech","65","timing_corrected","-63","449","0.0"
"1","67","subtitles","SubRip/SRT","hr","Croatian","66","timing_corrected","-63","447","0.0"
"1","68","subtitles","SubRip/SRT","ms-MY","Malay","67","timing_corrected","-63","439","0.0"
"1","69","subtitles","SubRip/SRT","hi","Hindi (Forced)","68","timing_corrected","-63","11","0.0"
"1","70","subtitles","SubRip/SRT","hi","Hindi","69","timing_corrected","-63","446","0.0"
"2","1","audio","Opus","ja","Japanese","1","unchanged_timing","0","2232","0.0"
"2","2","audio","Opus","ja","Japanese 2.0 (Blu-ray)","","added","0","",""
"2","3","audio","Opus","en","English","2","timing_corrected","-32","2247","0.0"
"2","4","audio","Opus","es-419","Spanish (Latin America)","3","timing_corrected","-9","2248","0.0"
"2","5","audio","Opus","es-ES","Spanish (Spain)","4","timing_corrected","-53","2246","0.0"
"2","6","audio","Opus","ar-SA","Arabic","5","timing_corrected","-32","2247","0.0"
"2","7","audio","Opus","fr-FR","French (France)","6","timing_corrected","-32","2247","0.0"
"2","8","audio","Opus","de","German","7","timing_corrected","-53","2246","0.0"
"2","9","audio","Opus","it","Italian","8","timing_corrected","-53","2246","0.0"
"2","10","audio","Opus","pt-BR","Portuguese (Brazil)","9","timing_corrected","-53","2246","0.0"
"2","11","audio","Opus","id-ID","Indonesian","10","timing_corrected","-32","2247","0.0"
"2","12","audio","Opus","th-TH","Thai","11","timing_corrected","10","2248","0.0"
"2","13","audio","Opus","hi","Hindi","12","timing_corrected","-53","2246","0.0"
"2","14","subtitles","SubRip/SRT","en","English (Forced)","13","timing_corrected","-63","9","0.0"
"2","15","subtitles","SubStationAlpha","en","English","14","timing_corrected","-42","5962","0.0"
"2","16","subtitles","SubRip/SRT","en","English (SDH)","15","timing_corrected","-63","521","0.0"
"2","17","subtitles","SubStationAlpha","en","English (Dub)","16","timing_corrected","-42","5996","0.0"
"2","18","subtitles","SubStationAlpha","en","English (Signs & Songs)","17","timing_corrected","-42","5514","0.0"
"2","19","subtitles","SubStationAlpha","en","English (Honorifics)","18","timing_corrected","-42","5962","0.0"
"2","20","subtitles","SubRip/SRT","es-419","Spanish (Latin America) (Forced)","19","timing_corrected","-63","11","0.0"
"2","21","subtitles","SubRip/SRT","es-419","Spanish (Latin America)","20","timing_corrected","-63","440","0.0"
"2","22","subtitles","SubRip/SRT","es-419","Spanish (Latin America) (Dub)","21","timing_corrected","-63","347","0.0"
"2","23","subtitles","SubRip/SRT","es-ES","Spanish (Spain) (Forced)","22","timing_corrected","-63","6","0.0"
"2","24","subtitles","SubRip/SRT","es-ES","Spanish (Spain)","23","timing_corrected","-63","444","0.0"
"2","25","subtitles","SubRip/SRT","es-ES","Spanish (Spain) (Dub)","24","timing_corrected","-63","384","0.0"
"2","26","subtitles","SubRip/SRT","ar-SA","Arabic","25","timing_corrected","-63","440","0.0"
"2","27","subtitles","SubRip/SRT","fr-FR","French (Forced)","26","timing_corrected","-63","11","0.0"
"2","28","subtitles","SubRip/SRT","fr-FR","French (France)","27","timing_corrected","-63","438","0.0"
"2","29","subtitles","SubRip/SRT","fr-FR","French (Dub)","28","timing_corrected","-63","505","0.0"
"2","30","subtitles","SubRip/SRT","de","German (Forced)","29","timing_corrected","-63","15","0.0"
"2","31","subtitles","SubRip/SRT","de","German","30","timing_corrected","-63","447","0.0"
"2","32","subtitles","SubRip/SRT","de","German (Dub)","31","timing_corrected","-63","365","0.0"
"2","33","subtitles","SubRip/SRT","it","Italian (Forced)","32","timing_corrected","-63","9","0.0"
"2","34","subtitles","SubRip/SRT","it","Italian","33","timing_corrected","-63","445","0.0"
"2","35","subtitles","SubRip/SRT","it","Italian (Dub)","34","timing_corrected","-63","398","0.0"
